niche,sub_service,specific_service,phrase,urgency,outcome,paid
plumbing,drain cleaning,hydro jetting,"they tried to snake it, but they couldn't snake it. It got stuck at, like, 60 feet",urgent,callback,1
plumbing,drain cleaning,hydro jetting,I would like an estimate to run either jetting on a sewer line,routine,quoted,1
plumbing,drain cleaning,hydro jetting,I have a sewer line from the kitchen. It starts to get clogged,routine,quoted,1
plumbing,drain cleaning,hydro jetting,"every two, three years starts to get clogged",routine,quoted,1
plumbing,drain cleaning,hydro jetting,We're needing a hydrojet on the sewer line,urgent,callback,1
plumbing,drain cleaning,hydro jetting,I need to make an appointment.,urgent,booked,1
plumbing,drain cleaning,hydro jetting,they mentioned that there was some root growth into one of the septic pipelines,routine,callback,1
plumbing,drain cleaning,hydro jetting,I was just wondering how much you guys charge for hydrojetting the mainline,urgent,callback,1
plumbing,drain cleaning,hydro jetting,"I'm currently under contract to buy a house in Temecula, California",routine,callback,1
plumbing,drain cleaning,hydro jetting,she would rather have the whole house done than just the main line,routine,quoted,1
plumbing,drain cleaning,hydro jetting,How much would it cost to get an evaluation for gas hydrojetting?,urgent,quoted,0
plumbing,drain cleaning,hydro jetting,Would they be able to do it today or just the estimate?,urgent,booked,1
plumbing,drain cleaning,hydro jetting,I'm calling to see if you do gas hydro jetting.,urgent,quoted,0
plumbing,drain cleaning,hydro jetting,get a couple of quotes for the hydrojetting,routine,quoted,1
plumbing,drain cleaning,hydro jetting,any time someone for tomorrow or on Friday,urgent,callback,1
plumbing,drain cleaning,hydro jetting,to re-roll some pipes inside our facility,urgent,callback,1
plumbing,drain cleaning,hydro jetting,get a quote on a hydrogating service,routine,quoted,1
plumbing,drain cleaning,hydro jetting,I'm wanting hydro jetting.,urgent,booked,1
plumbing,drain cleaning,hydro jetting,I'm just shopping around.,urgent,quoted,0
plumbing,drain cleaning,kitchen / sink drain clog,We have a plumbing problem that we'd like to get an estimate on.,routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I've got a kitchen sink disposal that is backed up,urgent,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,"Well, our sink in the kitchen gets backed up.",routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I have a kitchen sink that's clogged.,routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I just wanted to check on a repair,routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I have a clogged kitchen sink.,routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I need the plumbing line run.,routine,callback,1
plumbing,drain cleaning,kitchen / sink drain clog,Drain Unclog.,routine,callback,1
plumbing,drain cleaning,kitchen / sink drain clog,a black pvc two inch drain line from my kitchen sink to underneath the house,routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,getting someone to come look at a kitchen sink garbage disposal,routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,"It sounds like it's got power to it, but it's not turning on",routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I've been fighting with it for over a week now,routine,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I couldn't get it clean,urgent,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,It's beyond the P-trap,urgent,booked,1
plumbing,drain cleaning,kitchen / sink drain clog,I have my sink top.,routine,callback,1
plumbing,drain cleaning,sewer drain cleaning,"It's backing up into the bathrooms, and I need to get it cleared.",emergency,callback,1
plumbing,drain cleaning,sewer drain cleaning,I'm looking to have the drain cleared.,emergency,callback,1
plumbing,drain cleaning,sewer drain cleaning,I have a sewage backup happening,emergency,callback,1
plumbing,drain cleaning,sewer drain cleaning,I'm wondering if someone can come out and snake it,emergency,booked,1
plumbing,drain cleaning,sewer drain cleaning,there's a drain in the basement floor,emergency,booked,1
plumbing,drain cleaning,sewer drain cleaning,i've got a sewer situation,emergency,booked,1
plumbing,drain cleaning,drain line leak,there was a drain line damaged in the basement,routine,no_sale,1
plumbing,drain cleaning,drain line leak,"Every time we turn the water on inside the house, it's coming up behind this waterboard, and I can't see where it's coming up.",urgent,booked,1
plumbing,drain cleaning,drain line leak,give me an estimate on how much it would cost to fix it,routine,no_sale,1
plumbing,drain cleaning,drain line leak,As soon as possible. Because nobody can take a shower.,urgent,booked,1
plumbing,drain cleaning,drain line leak,we are not currently residing at the residence,routine,no_sale,1
plumbing,drain cleaning,drain line leak,I only see a lot of water behind the toilet,urgent,booked,1
plumbing,drain cleaning,drain pipe repair,the drain below the toilet in the crawl space seems to have a leak in it,urgent,booked,1
plumbing,drain cleaning,drain pipe repair,I just don't know what's wrong with the pipe to make it leak like that,routine,booked,1
plumbing,drain cleaning,drain pipe repair,it started leaking through the ceiling down into the dining room,routine,booked,1
plumbing,drain cleaning,drain pipe repair,a ceiling that leaked from a bathroom above it,routine,booked,1
plumbing,drain cleaning,drain pipe repair,it's a kind of a sewer gas smell,urgent,booked,1
plumbing,drain cleaning,drain pipe repair,It may even be dangerous,urgent,booked,1
plumbing,drain cleaning,shower / tub drain clog,a clogged shower dry,urgent,booked,1
plumbing,drain cleaning,shower / tub drain clog,I tried clearing it a little bit myself,urgent,booked,1
plumbing,drain cleaning,shower / tub drain clog,I've got a stopped-up shower,routine,callback,1
plumbing,drain cleaning,shower / tub drain clog,It just not clearing,urgent,booked,1
plumbing,drain cleaning,shower / tub drain clog,plugged-up shower,routine,callback,1
plumbing,drain cleaning,dishwasher air-gap leak,"whenever we turn on the dishwasher, the water is getting leaked from the air gap",routine,unknown,1
plumbing,drain cleaning,dishwasher air-gap leak,looks like it's clogged,routine,unknown,1
plumbing,drain cleaning,dishwasher air-gap leak,you have to clean the drain,routine,unknown,1
plumbing,drain cleaning,French drain service,I am looking to see if you guys maintenance French drain systems.,routine,no_sale,0
plumbing,drain cleaning,French drain service,you guys do French drain cleaning.,routine,no_sale,0
plumbing,drain cleaning,French drain service,French drain systems.,routine,no_sale,0
plumbing,drain cleaning,mainline drain cleaning,Had some water get backed up into like the tub and shower too.,urgent,booked,1
plumbing,drain cleaning,mainline drain cleaning,"I ran a 20-foot snake down it, but nothing doing.",urgent,booked,1
plumbing,drain cleaning,mainline drain cleaning,"I've got a mainline plug, I think.",urgent,booked,1
plumbing,drain cleaning,commercial drain service,"I have a commercial drain where I need the grate removed, like, immediately.",emergency,callback,1
plumbing,drain cleaning,commercial drain service,There's an animal stuck inside.,emergency,callback,1
plumbing,drain cleaning,commercial drain service,It's like a steel drain cover.,emergency,callback,1
plumbing,drain cleaning,drain grate removal,"I have a commercial drain where I need the grate removed, like, immediately.",emergency,callback,1
plumbing,drain cleaning,drain grate removal,There's an animal stuck inside.,emergency,callback,1
plumbing,drain cleaning,drain grate removal,It's like a steel drain cover.,emergency,callback,1
plumbing,drain cleaning,pipe blockage,Cloud pipe.,routine,not_connected,0
plumbing,drain cleaning,pipe blockage,Blockage.,routine,not_connected,0
plumbing,drain cleaning,mainline blockage clearing,I'm looking to get a quote to have a mainline blockage get cleared.,routine,callback,1
plumbing,drain cleaning,mainline blockage clearing,on a single family residential home in Mesa.,routine,callback,1
plumbing,drain cleaning,main drain clog,the water is coming back out,urgent,no_sale,0
plumbing,drain cleaning,main drain clog,"It's plumbing, clog line",urgent,no_sale,0
plumbing,drain cleaning,drain cleaning (clogged ground drain),"it's really clogged up with mud and dirt and, you know, debris",routine,booked,0
plumbing,drain cleaning,drain cleaning (clogged ground drain),cleaning the ground drain,routine,booked,0
plumbing,drain cleaning,clogged main sewer line backing up/flooding,how quickly I could get emergency plumbing to come out for a four-inch clogged main pipe,emergency,booked,1
plumbing,drain cleaning,clogged main sewer line backing up/flooding,It's flooded when I've had the water on,emergency,booked,1
plumbing,drain cleaning,slow drain / clogged bathroom sink,I don't know if the pipe just needs to be replaced under it or if there's a clog,routine,booked,1
plumbing,drain cleaning,slow drain / clogged bathroom sink,"I have a slow drain in my bathroom, the sink",routine,booked,1
plumbing,drain cleaning,broken drain line repair,a black pvc two inch drain line from my kitchen sink to underneath the house,routine,booked,1
plumbing,drain cleaning,water backing up under tub/shower,"I have water coming up from underneath of my tub, my shower tub downstairs, and it won't stop",emergency,no_sale,0
plumbing,water heater,water heater leak,I'm actually having problems in the garage it's like at the edge of the slab where it's coming towards the like the house foundation,urgent,booked,1
plumbing,water heater,water heater leak,how much you charge for leak detection service for someone to come out and maybe do a pinpoint kind of detection,urgent,booked,1
plumbing,water heater,water heater leak,I want to replace a gas 40 gallon gas water heater with a 40 gallon heat pump water heater,routine,no_sale,0
plumbing,water heater,water heater leak,maybe the line from my water heaters going into the house is leaking underneath the slab,urgent,booked,1
plumbing,water heater,water heater leak,"I woke up at 2.30 this morning, certain alarms in my house, there was a flood",emergency,callback,1
plumbing,water heater,water heater leak,I would like to get an answer for a replacement for my hot water heater.,routine,not_connected,0
plumbing,water heater,water heater leak,I want your guys come tomorrow come pick up my house have the water leak,urgent,callback,1
plumbing,water heater,water heater leak,we are keeping receiving from the water department that there's a leak,routine,no_sale,0
plumbing,water heater,water heater leak,I need to have you come out and light my water heater or fix it.,routine,no_sale,0
plumbing,water heater,water heater leak,make my new installed water heater. Make it heat the water,routine,no_sale,0
plumbing,water heater,water heater leak,"Our water heater has major, you know, water leakage",urgent,booked,1
plumbing,water heater,water heater leak,I'm in need of a plumber at this funeral hour,emergency,no_sale,0
plumbing,water heater,water heater leak,We have a water leak in our business property,routine,no_sale,0
plumbing,water heater,water heater leak,I need to have a hot water heater repaired.,routine,no_sale,0
plumbing,water heater,water heater leak,we have a water heater leak in our garage,emergency,callback,1
plumbing,water heater,water heater leak,a major leak in one of our water heaters,urgent,booked,1
plumbing,water heater,water heater leak,the water heater is leaking pretty bad,emergency,no_sale,0
plumbing,water heater,water heater leak,We have a leaking water heater.,urgent,booked,1
plumbing,water heater,water heater leak,I have a water leak in my attic,emergency,booked,1
plumbing,water heater,water heater leak,my hot water heater is leaking,urgent,booked,1
plumbing,water heater,water heater leak,Leak of the hot water heater,routine,callback,1
plumbing,water heater,water heater leak,I need an emergency plumber,emergency,callback,1
plumbing,water heater,water heater leak,Probably needs replacement,urgent,booked,1
plumbing,water heater,water heater leak,my water heater is leaking,emergency,callback,1
plumbing,water heater,water heater leak,it flooded our garage,emergency,callback,1
plumbing,water heater,water heater leak,I need a service,urgent,booked,1
plumbing,water heater,water heater leak,my hot water heater has quit working and there is water down in the pan,routine,no_sale,0
plumbing,water heater,water heater leak,it's from the water line that kind of comes off of the water heater,emergency,booked,1
plumbing,water heater,water heater leak,giving me an estimate on my code 12 on my stainless water heater,routine,booked,1
plumbing,water heater,water heater leak,I've got a towel under it in the attic right now,emergency,booked,1
plumbing,water heater,water heater leak,Is there anybody that could help me tonight?,emergency,callback,1
plumbing,water heater,water heater leak,I can't reignite it with the ignition button,urgent,callback,1
plumbing,water heater,water heater leak,we don't have any water to the house at all,urgent,booked,1
plumbing,water heater,water heater leak,I turned off the water to the water heater,urgent,booked,1
plumbing,water heater,water heater leak,"hot water tank, water's going everywhere",emergency,callback,1
plumbing,water heater,water heater leak,somebody should look at it this evening,emergency,no_sale,0
plumbing,water heater,water heater leak,We lift the water on the basement,urgent,callback,1
plumbing,water heater,water heater leak,I'd like it as soon as possible,urgent,booked,1
plumbing,water heater,water heater leak,take a look at the water heater,urgent,callback,1
plumbing,water heater,water heater leak,the drain pan is full of water,urgent,booked,1
plumbing,water heater,water heater leak,what I'd like to know is...,routine,not_connected,0
plumbing,water heater,water heater leak,this is business property,routine,no_sale,0
plumbing,water heater,water heater leak,The pilot light went out,urgent,callback,1
plumbing,water heater,water heater leak,there was no hot water.,urgent,booked,1
plumbing,water heater,water heater leak,I'm in Valley Springs.,routine,no_sale,0
plumbing,water heater,water heater leak,"Yeah, no hot water.",urgent,booked,1
plumbing,water heater,water heater leak,Standard tank,routine,callback,1
plumbing,water heater,water heater leak,It is a tank,routine,no_sale,0
plumbing,water heater,tankless flush / descale,"I don't want to get in a situation I was in the other day where the people came out and, well, we don't service this, but we can replace it.",routine,callback,1
plumbing,water heater,tankless flush / descale,"I was looking to replace my water softener, my tank, with one of those on-demand ones, or water heater excuse me",routine,no_sale,1
plumbing,water heater,tankless flush / descale,I need a tankless water heater repair I live on Palomar Mountain,routine,booked,1
plumbing,water heater,tankless flush / descale,I'm looking for your coats for my butter heater,routine,booked,1
plumbing,water heater,tankless flush / descale,"And it needs a service, I think.",routine,quoted,1
plumbing,water heater,tankless flush / descale,"just flush it, not replaced",routine,no_sale,0
plumbing,water heater,tankless flush / descale,a water heater issue,routine,callback,1
plumbing,water heater,tankless flush / descale,"It was showing an error code 12, and I took it apart and found a thermocouple wires were burnt",routine,booked,1
plumbing,water heater,tankless flush / descale,I was wondering how much you guys charge for that and what your availabilities are.,routine,no_sale,1
plumbing,water heater,tankless flush / descale,I just wanted somebody to come out and look at it before they give me a price.,routine,no_sale,1
plumbing,water heater,tankless flush / descale,I wanted to have a plumber come out and look and see if it's even feasible,routine,no_sale,1
plumbing,water heater,tankless flush / descale,"a code popping up on the heater, code 11, with a beeping sound",routine,booked,1
plumbing,water heater,tankless flush / descale,Can you give me a call for the flushing tankless water heater,routine,no_sale,0
plumbing,water heater,tankless flush / descale,I just want somebody to come out here and flush the system.,routine,callback,1
plumbing,water heater,tankless flush / descale,I'm getting rid of an old boiler and hot water heater,routine,callback,1
plumbing,water heater,tankless flush / descale,I'd just like to get it serviced and flushed,routine,callback,1
plumbing,water heater,tankless flush / descale,"Just kind of, you know, tune it up.",routine,callback,1
plumbing,water heater,tankless flush / descale,I think it's time for a cleaning.,routine,no_sale,1
plumbing,water heater,tankless flush / descale,how do I get the correct guidance,routine,callback,1
plumbing,water heater,tankless flush / descale,I have a tankless water heater.,routine,no_sale,1
plumbing,water heater,tankless flush / descale,how much is a descale?,routine,quoted,1
plumbing,water heater,tankless flush / descale,It's 18 years old,routine,quoted,1
plumbing,water heater,tankless water heater,"I don't want to get in a situation I was in the other day where the people came out and, well, we don't service this, but we can replace it.",routine,callback,1
plumbing,water heater,tankless water heater,"I was looking to replace my water softener, my tank, with one of those on-demand ones, or water heater excuse me",routine,no_sale,1
plumbing,water heater,tankless water heater,I need a tankless water heater repair I live on Palomar Mountain,routine,booked,1
plumbing,water heater,tankless water heater,I'm looking for your coats for my butter heater,routine,booked,1
plumbing,water heater,tankless water heater,"And it needs a service, I think.",routine,quoted,1
plumbing,water heater,tankless water heater,"just flush it, not replaced",routine,no_sale,0
plumbing,water heater,tankless water heater,"It was showing an error code 12, and I took it apart and found a thermocouple wires were burnt",routine,booked,1
plumbing,water heater,tankless water heater,I was wondering how much you guys charge for that and what your availabilities are.,routine,no_sale,1
plumbing,water heater,tankless water heater,I just wanted somebody to come out and look at it before they give me a price.,routine,no_sale,1
plumbing,water heater,tankless water heater,I wanted to have a plumber come out and look and see if it's even feasible,routine,no_sale,1
plumbing,water heater,tankless water heater,"a code popping up on the heater, code 11, with a beeping sound",routine,booked,1
plumbing,water heater,tankless water heater,Can you give me a call for the flushing tankless water heater,routine,no_sale,0
plumbing,water heater,tankless water heater,I just want somebody to come out here and flush the system.,routine,callback,1
plumbing,water heater,tankless water heater,I'm getting rid of an old boiler and hot water heater,routine,callback,1
plumbing,water heater,tankless water heater,"Just kind of, you know, tune it up.",routine,callback,1
plumbing,water heater,tankless water heater,I think it's time for a cleaning.,routine,no_sale,1
plumbing,water heater,tankless water heater,how do I get the correct guidance,routine,callback,1
plumbing,water heater,tankless water heater,I have a tankless water heater.,routine,no_sale,1
plumbing,water heater,tankless water heater,how much is a descale?,routine,quoted,1
plumbing,water heater,tankless water heater,It's 18 years old,routine,quoted,1
plumbing,water heater,outdoor water leak,there's a water leak outside.,urgent,no_sale,0
plumbing,water heater,outdoor water leak,I don want to waste the water though,urgent,no_sale,0
plumbing,water heater,outdoor water leak,Are you not able to come in today?,urgent,no_sale,0
plumbing,water heater,water heater not heating,make my new installed water heater. Make it heat the water,routine,no_sale,0
plumbing,water heater,water heater not heating,It is a tank,routine,no_sale,0
plumbing,water heater,water heater service & flush,a water heater issue,routine,callback,1
plumbing,water heater,water heater service & flush,I'd just like to get it serviced and flushed,routine,callback,1
plumbing,water heater,water heater flood/replacement,"I woke up at 2.30 this morning, certain alarms in my house, there was a flood",emergency,callback,1
plumbing,water heater,water heater flood/replacement,"hot water tank, water's going everywhere",emergency,callback,1
plumbing,water heater,water heater replacement (gas to heat pump),I want to replace a gas 40 gallon gas water heater with a 40 gallon heat pump water heater,routine,no_sale,0
plumbing,water heater,water heater repair (tank),I need to have a hot water heater repaired.,routine,no_sale,0
plumbing,water heater,water heater repair estimate (error code),giving me an estimate on my code 12 on my stainless water heater,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,"when I cut off the outside, there was no leak. I turn on the water inside, the valve going inside the house, there's a leak",urgent,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I'd like an overall estimate of what it is to actually replace a faucet apart from the service charge.,routine,quoted,1
plumbing,fixtures,faucet / valve / fixture repair,We have a plumbing issue at our house and we're kind of needing someone out here quickly,urgent,callback,0
plumbing,fixtures,faucet / valve / fixture repair,I'm just trying to find a plumber to replace a kitchen faucet that's leaking.,routine,quoted,1
plumbing,fixtures,faucet / valve / fixture repair,i broke the the main before the shut off in the house last last night,emergency,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I was going to find out if y'all do water softener installations,routine,no_sale,1
plumbing,fixtures,faucet / valve / fixture repair,I'd like to get somebody out here to get that thing replaced.,emergency,callback,1
plumbing,fixtures,faucet / valve / fixture repair,Basement bathtub. We turn the water on. It won't shut off.,emergency,callback,1
plumbing,fixtures,faucet / valve / fixture repair,"when the irrigation valve is on, it's running really fast",routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,"the movers dropped the big tank, and they broke the valve",routine,no_sale,1
plumbing,fixtures,faucet / valve / fixture repair,"there's a hole on the ceiling, and they come from a leak",routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I have a leak that has caused my water to be shut off,urgent,callback,0
plumbing,fixtures,faucet / valve / fixture repair,"replace the S-traps in there with, I think, P-traps",routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I believe I have a water leak. You guys fix those?,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I'm hoping to schedule a water main replacement.,emergency,booked,1
plumbing,fixtures,faucet / valve / fixture repair,The leak is under the concrete of my driveway.,urgent,callback,0
plumbing,fixtures,faucet / valve / fixture repair,get someone to come out and look at my issues,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I'm calling about the leak detection service,urgent,booked,1
plumbing,fixtures,faucet / valve / fixture repair,i am in need of a little bit of consulting,routine,no_sale,1
plumbing,fixtures,faucet / valve / fixture repair,We have a leaky faucet in one of our tubs.,routine,unknown,0
plumbing,fixtures,faucet / valve / fixture repair,some of them need to be actually replaced,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I think they need another knob on it.,urgent,no_sale,1
plumbing,fixtures,faucet / valve / fixture repair,repair some faucets that are leaking,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,Leaky valve behind washing machine,urgent,callback,0
plumbing,fixtures,faucet / valve / fixture repair,I have a plumbing problem.,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,both bathrooms have leaks,urgent,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I need a plumber,urgent,callback,0
plumbing,fixtures,faucet / valve / fixture repair,"North Carolina plumbing code, is it like the same in the entire state",routine,no_sale,1
plumbing,fixtures,faucet / valve / fixture repair,do you know if a pressure release valve is like a code requirement?,routine,no_sale,1
plumbing,fixtures,faucet / valve / fixture repair,Can you tell me how much it would be? Kitchen faucet.,routine,quoted,1
plumbing,fixtures,faucet / valve / fixture repair,very low pressure in the bathrooms and the faucets,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,"One of my knobs on my tub, I think it's stripped.",urgent,no_sale,1
plumbing,fixtures,faucet / valve / fixture repair,I have an idea it might be in my irrigation lines,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I'm trying to get someone out today if possible.,urgent,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I have the pot but I can't get the old one out,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,i'm unable to take off the fill valve,routine,booked,1
plumbing,fixtures,faucet / valve / fixture repair,I think the cartridge is stripped.,emergency,callback,1
plumbing,fixtures,faucet / valve / fixture repair,me quedé sin agua en la casa,emergency,unknown,0
plumbing,fixtures,faucet / valve / fixture repair,fix an outdoor water spigot,urgent,callback,1
plumbing,fixtures,faucet / valve / fixture repair,same-day service available,urgent,callback,1
plumbing,fixtures,faucet / valve / fixture repair,it's moving pretty fast,urgent,booked,1
plumbing,fixtures,faucet / valve / fixture repair,From curb to house.,emergency,booked,1
plumbing,fixtures,faucet / valve / fixture repair,Es algo emergente.,emergency,unknown,0
plumbing,fixtures,faucet / valve / fixture repair,"Yes, a plumber.",urgent,no_sale,1
plumbing,fixtures,faucet repair,I'd like an overall estimate of what it is to actually replace a faucet apart from the service charge.,routine,quoted,1
plumbing,fixtures,faucet repair,I'm just trying to find a plumber to replace a kitchen faucet that's leaking.,routine,quoted,1
plumbing,fixtures,faucet repair,get someone to come out and look at my issues,routine,booked,1
plumbing,fixtures,faucet repair,We have a leaky faucet in one of our tubs.,routine,unknown,0
plumbing,fixtures,faucet repair,some of them need to be actually replaced,routine,booked,1
plumbing,fixtures,faucet repair,repair some faucets that are leaking,routine,booked,1
plumbing,fixtures,faucet repair,Can you tell me how much it would be? Kitchen faucet.,routine,quoted,1
plumbing,fixtures,shower valve / showerhead leak,I just need it fixed. I need it taken care of.,routine,booked,1
plumbing,fixtures,shower valve / showerhead leak,we have a very small leak from the showerhead,routine,no_sale,0
plumbing,fixtures,shower valve / showerhead leak,"in the shower, it's just constantly. leaks",routine,booked,1
plumbing,fixtures,shower valve / showerhead leak,repairing our bathroom water valve,routine,no_sale,0
plumbing,fixtures,shower valve / showerhead leak,the part where you turn it on,routine,booked,1
plumbing,fixtures,shower valve / showerhead leak,hopefully get a quick quote,routine,no_sale,0
plumbing,fixtures,burst / broken supply valve,I have found a leak or a burst pipe in my house that is currently leaking,emergency,no_sale,1
plumbing,fixtures,burst / broken supply valve,I can see it's leaking through my walls right now,emergency,no_sale,1
plumbing,fixtures,burst / broken supply valve,I have a large leak slash probably burst valve.,emergency,booked,0
plumbing,fixtures,burst / broken supply valve,I need someone now,emergency,no_sale,1
plumbing,fixtures,burst / broken supply valve,There's a large amount of water coming out of the wall. I have no way of shutting it off.,emergency,booked,0
plumbing,fixtures,burst / broken supply valve,It's the main valve for the toilet going to the wall.,emergency,booked,0
plumbing,fixtures,bathtub faucet repair,I think they need another knob on it.,urgent,no_sale,1
plumbing,fixtures,bathtub faucet repair,both bathrooms have leaks,urgent,booked,1
plumbing,fixtures,bathtub faucet repair,"One of my knobs on my tub, I think it's stripped.",urgent,no_sale,1
plumbing,fixtures,bathtub faucet repair,I'm trying to get someone out today if possible.,urgent,booked,1
plumbing,fixtures,bathtub faucet repair,"Yes, a plumber.",urgent,no_sale,1
plumbing,fixtures,toilet supply valve,I have a large leak slash probably burst valve.,emergency,booked,0
plumbing,fixtures,toilet supply valve,There's a large amount of water coming out of the wall. I have no way of shutting it off.,emergency,booked,0
plumbing,fixtures,toilet supply valve,It's the main valve for the toilet going to the wall.,emergency,booked,0
plumbing,fixtures,faucet cartridge replacement,I'd like to get somebody out here to get that thing replaced.,emergency,callback,1
plumbing,fixtures,faucet cartridge replacement,Basement bathtub. We turn the water on. It won't shut off.,emergency,callback,1
plumbing,fixtures,faucet cartridge replacement,I think the cartridge is stripped.,emergency,callback,1
plumbing,fixtures,toilet fill valve,I have a plumbing problem.,routine,booked,1
plumbing,fixtures,toilet fill valve,I have the pot but I can't get the old one out,routine,booked,1
plumbing,fixtures,toilet fill valve,i'm unable to take off the fill valve,routine,booked,1
plumbing,fixtures,utility / laundry sink leak,it does more and more damage as it's not fixed,urgent,callback,1
plumbing,fixtures,utility / laundry sink leak,It's continuing to leak,urgent,callback,1
plumbing,fixtures,utility / laundry sink leak,A utility sink in the garage.,urgent,callback,1
plumbing,fixtures,burst pipe repair,I have found a leak or a burst pipe in my house that is currently leaking,emergency,no_sale,1
plumbing,fixtures,burst pipe repair,I can see it's leaking through my walls right now,emergency,no_sale,1
plumbing,fixtures,burst pipe repair,I need someone now,emergency,no_sale,1
plumbing,fixtures,outdoor spigot repair,fix an outdoor water spigot,urgent,callback,1
plumbing,fixtures,outdoor spigot repair,same-day service available,urgent,callback,1
plumbing,fixtures,water softener valve replacement/reinstall,I was going to find out if y'all do water softener installations,routine,no_sale,1
plumbing,fixtures,water softener valve replacement/reinstall,"the movers dropped the big tank, and they broke the valve",routine,no_sale,1
plumbing,fixtures,broken water valve/pipe - no water,me quedé sin agua en la casa,emergency,unknown,0
plumbing,fixtures,broken water valve/pipe - no water,Es algo emergente.,emergency,unknown,0
plumbing,fixtures,leaking valve behind washing machine,We have a plumbing issue at our house and we're kind of needing someone out here quickly,urgent,callback,0
plumbing,fixtures,leaking valve behind washing machine,Leaky valve behind washing machine,urgent,callback,0
plumbing,sewer & septic,sewer line repair,would it be possible to get an estimate...to either hydrojet and if the plumber thinks that it would be need a repair,routine,callback,1
plumbing,sewer & septic,sewer line repair,"my toilet bowl was clogged, and I called Mint Plumbing, and what they extracted was a lot of rooting on the pipes",routine,callback,0
plumbing,sewer & septic,sewer line repair,"I have a localized crack in my PVC sewer line with some root intrusion, and I'm looking for a spot repair",routine,booked,1
plumbing,sewer & septic,sewer line repair,"We're having a sewer problem, and we think we might be having roots in our sewer line",emergency,booked,1
plumbing,sewer & septic,sewer line repair,I've got drains clogged up between my house and the sewer line out on the street,routine,callback,1
plumbing,sewer & septic,sewer line repair,I'm looking for someone who can locate a sewer line for me inside of a residence,routine,no_sale,1
plumbing,sewer & septic,sewer line repair,I have a clogged drain from my washer to the main line that goes to the sewer.,routine,booked,1
plumbing,sewer & septic,sewer line repair,tell me what the problem is and what the fix is and how much it will be.,routine,booked,1
plumbing,sewer & septic,sewer line repair,I want your guys come tomorrow come pick up my house have the water leak,urgent,callback,1
plumbing,sewer & septic,sewer line repair,I was looking online for suolateral replacement or like transless work,routine,callback,1
plumbing,sewer & septic,sewer line repair,"whoever comes is going to need a pretty heavy duty, snake auger thing.",routine,callback,1
plumbing,sewer & septic,sewer line repair,"We've got a line, a sewer line that's backing up into the house",urgent,booked,1
plumbing,sewer & septic,sewer line repair,I would like an estimate to run either jetting on a sewer line,routine,quoted,1
plumbing,sewer & septic,sewer line repair,I have a sewer line from the kitchen. It starts to get clogged,routine,quoted,1
plumbing,sewer & septic,sewer line repair,I have a leak issue with my septic line under the house.,urgent,booked,1
plumbing,sewer & septic,sewer line repair,"every two, three years starts to get clogged",routine,quoted,1
plumbing,sewer & septic,sewer line repair,We're needing a hydrojet on the sewer line,urgent,callback,1
plumbing,sewer & septic,sewer line repair,I got a line that needs to be snaked.,routine,no_sale,1
plumbing,sewer & septic,sewer line repair,It backed up in our house last night,emergency,booked,1
plumbing,sewer & septic,sewer line repair,"my sewer line is, like, backed up.",urgent,quoted,1
plumbing,sewer & septic,sewer line repair,And it's cracked in that joint,urgent,booked,1
plumbing,sewer & septic,sewer line repair,it needs to be snaked out.,routine,booked,1
plumbing,sewer & septic,sewer line repair,Sewer lateral replacement,routine,callback,1
plumbing,sewer & septic,sewer line repair,Both toilets won't flush,urgent,quoted,1
plumbing,sewer & septic,sewer line repair,they mentioned that there was some root growth into one of the septic pipelines,routine,callback,1
plumbing,sewer & septic,sewer line repair,re-pipe to prevent or put a screen or something to prevent the root intrusion,routine,callback,0
plumbing,sewer & septic,sewer line repair,do you do epoxy lining of sewer lines underneath a concrete slab of a house?,routine,no_sale,1
